name,latitude,longitude
PERGOLA DES ARTISTES 252 WEST 46 STREET New York NY 10036,40.7602619,-73.9932872
TWO STEPS DOWN 240 DE KALB AVENUE New York NY 11205,40.6945036,-73.9565551
MCDONALD'S 395 FLATBUSH AVENUE EXTENSION New York NY 11201,40.6895078,-73.9808063
EL POTE ESPANOL 718 2 AVENUE New York NY 10016,40.74727,-73.9800645
MUDVILLE SALOON 126 CHAMBERS STREET New York NY 10007,40.7151413,-74.0089396
JOHNNY'S REEF RESTAURANT 2 CITY ISLAND AVE New York NY 10464,40.8377713,-73.7826735
WHITE CASTLE 846 EMPIRE BOULEVARD New York NY 11213,40.7898933,-73.8292118
FERDINANDO'S RESTAURANT 151 UNION STREET New York NY 11231,40.684236,-74.0018435
PETE'S TAVERN 129 EAST 18 STREET New York NY 10003,40.7322535,-73.9874105
GINO'S PIZZERIA 61-32 SPRINGFIELD BOULEVARD New York NY 11364,40.7546781,-73.7609044
JOHN MULLIGAN'S 4272 KATONAH AVENUE New York NY 10470,40.8977501,-73.8672049
EAR INN 326 SPRING STREET New York NY 10013,40.7258405,-74.0094737
BURGER KING 6815 NORTHERN BOULEVARD New York NY 11377,40.7545592,-73.8978737
MCDONALD'S 3267 RICHMOND AVENUE New York NY 10312,40.5595789,-74.1695538
TONY'S PIZZERIA 336 KNICKERBOCKER AVENUE New York NY 11237,40.701015,-73.922642
THREE GUY'S RESTAURANT 960 MADISON AVENUE New York NY 10021,40.7741339,-73.964082
CUCINA VIVOLO 138140 EAST 74 STREET New York NY 10021,40.7700703,-73.9580246
DIVERS COVE 2901 FRANCIS LEWIS BOULEVARD New York NY 11358,40.7702099,-73.792701
CAFE ESPANOL 172 BLEECKER STREET New York NY 10012,40.7287609,-74.0007509
SMITH & WOLLENSKY 201 EAST 49 STREET New York NY 10017,40.7519846,-73.9697795
MCDONALD'S 16011 WILLETS POINT BOULEVARD New York NY 11357,40.780748,-73.802319
PERKINS FAMILY RESTAURANT & BAKERY 1745 FOREST AVENUE New York NY 10303,40.625178,-74.146976
MAMA LUCIA 1701 FOSTER AVENUE New York NY 11230,40.6351394,-73.9611642
COLISEUM BAR RESTAURANT 312 WEST 58 STREET New York NY 10019,40.7686973,-73.9918181
MARIELLA PIZZA 180 3 AVENUE New York NY 10003,40.7322535,-73.9874105
VINNY'S PIZZA 19901 32 AVENUE New York NY 11358,40.760743,-73.7977928
LA BARAKA RESTAURANT 255-09 NORTHERN BOULEVARD New York NY 11362,40.7723579,-73.734425
DAIRY LUNCHEONETTE 4801 16 AVENUE New York NY 11204,40.6195067,-73.9859414
ZAFI'S LUNCHEONETTE 500 GRAND STREET New York NY 10002,40.7150766,-73.9828058
LA PALINA RESTAURANT 159 AVENUE O New York NY 11204,40.611024,-73.978877
B T G. ENTERPRISES 5505 CHURCH AVENUE New York NY 11203,40.652682,-73.925412
EXCLUSIVE CATERING 275 MARTLING AVE New York NY 10314,40.6211314,-74.1229328
MCDONALD'S 3660 EAST TREMONT AVENUE New York NY 10465,40.8276846,-73.8233981
BURGER KING 92-83 QUEENS BOULEVARD New York NY 11374,40.7319498,-73.866461
DAZIES RESTAURANT 39-41 QUEENS BOULEVARD New York NY 11104,40.744085,-73.9252076
TRIESTES RESTAURANT 7316 NORTHERN BOULEVARD New York NY 11372,40.7546412,-73.8935518
MURALS ON 54/RANDOLPHS'S 65 WEST 54 STREET New York NY 10019,40.7686973,-73.9918181
SHABU-SHABU 70 RESTAURANT 314 EAST 70 STREET New York NY 10021,40.7700703,-73.9580246
CHEN'S CHINESE 1434 RICHMOND ROAD New York NY 10304,40.594194,-74.098706
RACQUET & TENNIS CLUB 370 PARK AVENUE New York NY 10022,40.7588047,-73.9732838
CASA PEPE 114 BAYRIDGE AVENUE New York NY 11220,40.6385229,-74.0153231
OLYMPIC RESTAURANT 115 DELANCEY STREET New York NY 10002,40.7182566,-73.9881462
KEENS STEAKHOUSE 72 East 36th Street New York NY 10018,40.755322,-73.9932872
READY PENNY INN 3707 73 STREET New York NY 11372,40.7527924,-73.8801301
SHUN LEE 37 WEST 65 STREET New York NY 10023,40.7769059,-73.9800645
BRIDGEVIEW DINER 9011 THIRD AVENUE New York NY 11209,40.620557,-74.031696
PRIMAVERA PIZZA & PASTA 1005 2 AVENUE New York NY 10022,40.7593941,-73.9697795
TONY'S PIER RESTAURANT 1 CITY ISLAND AVE New York NY 10464,40.8374725,-73.7830935
QUALITY CAFE & RESTAURANT 2942 WESTCHESTER AVENUE New York NY 10461,40.847101,-73.832183
LA MEDITERRANEE RESTAURANT 947 2 AVENUE New York NY 10022,40.7593941,-73.9697795
EL CARIBE 5945 STRICKLAND AVENUE New York NY 11234,40.6087346,-73.9153514
OMEN JAPANESE CUISINE 113 THOMPSON STREET New York NY 10012,40.7260047,-74.0019729
MCDONALD'S 82 COURT STREET New York NY 11201,40.6913932,-73.9917897
ROSIE O'GRADY RESTAURANT 800 7 AVENUE New York NY 10019,40.7686973,-73.9918181
DJ REYNOLDS PUB AND RESTAURANT 351 WEST 57 STREET New York NY 10019,40.7686973,-73.9918181
INTERCONTINENTAL THE BARCLAY 111 EAST 48 STREET New York NY 10017,40.7519846,-73.9697795
RIVIERA CATERER 2780 STILLWELL AVENUE New York NY 11224,40.579505,-73.98242
TOV KOSHER KITCHEN 97-22 63 ROAD New York NY 11374,40.7255722,-73.8624893
THE MOVABLE FEAST 284 PROSPECT PARK WEST New York NY 11215,40.6580753,-73.9829239
